Brand,Model,Year,Body Type,Cylinders,Fuel Economy Highway,Fuel Economy City,Fuel Economy Average,Seats,Transmission,Make,Style,Horsepower,Fuel Type,Color,Miles Driven,Condition,Title Status,Damages,Number of Owners,Title Available,Payment Status,Sale Price
Nissan,Altima,2007,Wagon,10,22.9,16.5,19.7,7,Automatic,Nissan,Nissan Altima Wagon,527,Hybrid,Black,10328,Used,Rebuilt,Minor Scratches,1,Available,Paid,55920.22
Chevrolet,Equinox,2000,Coupe,3,29.7,21.4,25.5,5,Automatic,Chevrolet,Chevrolet Equinox Coupe,161,Hybrid,Black,85807,Used,Rebuilt,Flood Damage,3,Available,Paid,49019.62
BMW,X3,1999,Coupe,12,15.7,13.3,14.5,7,Automatic,BMW,BMW X3 Coupe,252,Hybrid,Black,73616,New,Clean,None,1,Not Available,Paid,78593.05
Toyota,RAV4,2023,Convertible,4,19,15.9,17.4,7,CVT,Toyota,Toyota RAV4 Convertible,155,Hybrid,Black,64390,New,Salvage,Minor Scratches,5,Not Available,Unpaid,21986.99
Kia,Soul,2000,Convertible,12,22.5,15.7,19.1,5,Automatic,Kia,Kia Soul Convertible,186,Hybrid,Black,88241,Used,Rebuilt,Flood Damage,1,Not Available,Unpaid,70029.02
Toyota,Corolla,2021,Hatchback,8,25.3,22.7,24,2,Dual-Clutch,Toyota,Toyota Corolla Hatchback,466,Hybrid,Black,181347,Used,Clean,None,3,Available,Paid,57748.1
Ford,Escape,2003,Hatchback,8,27.2,21.6,24.4,7,CVT,Ford,Ford Escape Hatchback,483,Hybrid,Black,56103,Used,Salvage,Severe Collision,2,Available,Paid,36762.5
Subaru,Outback,2020,Convertible,6,34.6,28.4,31.5,3,Automatic,Subaru,Subaru Outback Convertible,471,Hybrid,Black,114122,Used,Rebuilt,Flood Damage,5,Not Available,Paid,67654.38
Chevrolet,Silverado,2020,Truck,6,23.8,18,20.9,5,Automatic,Chevrolet,Chevrolet Silverado Truck,328,Hybrid,Black,125021,Used,Clean,None,1,Available,Paid,25840.2
Subaru,Impreza,2008,Wagon,10,28.6,25.5,27.1,7,Dual-Clutch,Subaru,Subaru Impreza Wagon,340,Hybrid,Black,63676,Used,Rebuilt,Frame Damage,3,Not Available,Unpaid,12114.29
BMW,M4,2019,Wagon,8,29.3,21.8,25.6,2,Automatic,BMW,BMW M4 Wagon,562,Hybrid,Black,56061,Used,Clean,None,3,Available,Paid,48724.44
Ford,Fusion,2006,Sedan,10,26.3,23,24.6,5,Dual-Clutch,Ford,Ford Fusion Sedan,220,Hybrid,Black,53784,New,Rebuilt,Minor Scratches,2,Available,Unpaid,30356.57
Nissan,Frontier,1995,Truck,6,17.1,10.5,13.8,4,CVT,Nissan,Nissan Frontier Truck,418,Hybrid,Black,203637,New,Salvage,Flood Damage,2,Not Available,Paid,61985.67
Chevrolet,Equinox,2020,Wagon,10,19.7,10.8,15.2,2,Manual,Chevrolet,Chevrolet Equinox Wagon,199,Hybrid,Black,48683,New,Rebuilt,Frame Damage,3,Not Available,Paid,62475.69
Ford,Mustang,2010,SUV,3,30.2,23,26.6,4,Dual-Clutch,Ford,Ford Mustang SUV,501,Hybrid,Black,101970,New,Salvage,Frame Damage,5,Not Available,Unpaid,61630.91
BMW,X5,2005,Convertible,10,19.3,13,16.1,5,Dual-Clutch,BMW,BMW X5 Convertible,150,Hybrid,Black,149015,Used,Clean,None,1,Available,Unpaid,64969.63
Honda,CR-V,1998,Wagon,4,15.8,10.4,13.1,7,Dual-Clutch,Honda,Honda CR-V Wagon,141,Hybrid,Black,199158,Used,Salvage,Frame Damage,5,Available,Paid,34170.03
Hyundai,Tucson,2016,SUV,10,37,28.1,32.5,3,Manual,Hyundai,Hyundai Tucson SUV,105,Hybrid,Black,83091,New,Clean,None,5,Not Available,Paid,27633.74
Honda,Fit,2021,SUV,10,30.3,20.7,25.5,7,Manual,Honda,Honda Fit SUV,161,Hybrid,Black,52236,Used,Rebuilt,Severe Collision,4,Available,Unpaid,7603.86
BMW,X5,2015,Convertible,3,28,22.5,25.2,2,Dual-Clutch,BMW,BMW X5 Convertible,346,Hybrid,Black,147961,New,Rebuilt,Minor Scratches,2,Available,Paid,63914.76
Nissan,Sentra,2001,Wagon,12,17.5,11.5,14.5,2,Dual-Clutch,Nissan,Nissan Sentra Wagon,358,Hybrid,Black,202006,New,Clean,None,4,Not Available,Paid,54018.32
Honda,CR-V,2015,Hatchback,10,28.4,22.7,25.5,5,Dual-Clutch,Honda,Honda CR-V Hatchback,570,Hybrid,Black,151451,Used,Salvage,Severe Collision,4,Not Available,Paid,77724.91
Honda,Accord,2005,Coupe,4,25.7,22.2,23.9,2,Manual,Honda,Honda Accord Coupe,308,Hybrid,Black,182696,New,Salvage,Minor Scratches,3,Available,Unpaid,41197.23
Nissan,Frontier,2023,SUV,6,24.9,20.5,22.7,2,Dual-Clutch,Nissan,Nissan Frontier SUV,179,Hybrid,Black,98083,Used,Salvage,Minor Scratches,4,Available,Paid,76864.87
Ford,Explorer,2013,Truck,12,25.8,22.9,24.4,5,Manual,Ford,Ford Explorer Truck,365,Hybrid,Black,104321,Used,Clean,None,5,Available,Paid,58699.87
Hyundai,Elantra,2005,Convertible,10,24.8,15.3,20.1,2,Dual-Clutch,Hyundai,Hyundai Elantra Convertible,233,Hybrid,Black,48523,New,Rebuilt,Flood Damage,1,Not Available,Unpaid,7657.23
Toyota,Highlander,2003,SUV,3,23.4,14.2,18.8,5,Dual-Clutch,Toyota,Toyota Highlander SUV,405,Hybrid,Black,25653,New,Rebuilt,Minor Scratches,5,Available,Unpaid,17621.39
Hyundai,Santa Fe,2002,Convertible,3,33.3,28.7,31,4,Manual,Hyundai,Hyundai Santa Fe Convertible,521,Hybrid,Black,6613,Used,Clean,None,5,Not Available,Unpaid,51919.7
Mercedes,GLE,2022,Truck,12,32.8,23,27.9,5,Automatic,Mercedes,Mercedes GLE Truck,484,Hybrid,Black,7016,Used,Salvage,Severe Collision,3,Not Available,Unpaid,19427.1
Subaru,Impreza,2010,Hatchback,6,32.4,25.4,28.9,4,CVT,Subaru,Subaru Impreza Hatchback,448,Hybrid,Black,91401,New,Rebuilt,Flood Damage,2,Not Available,Paid,55199.24
Honda,Fit,2021,Coupe,4,23.7,20.2,21.9,2,Automatic,Honda,Honda Fit Coupe,130,Hybrid,Black,215917,Used,Salvage,Flood Damage,4,Available,Paid,44029.4
BMW,3 Series,2002,Truck,12,38.3,29.6,34,2,Automatic,BMW,BMW 3 Series Truck,408,Hybrid,Black,69827,New,Clean,None,2,Not Available,Unpaid,36498.65
Toyota,RAV4,1999,Hatchback,6,20.5,17.1,18.8,5,Manual,Toyota,Toyota RAV4 Hatchback,215,Hybrid,Black,6070,New,Salvage,Severe Collision,1,Not Available,Paid,48654.26
Nissan,Altima,1996,Coupe,10,19.9,17.3,18.6,5,Manual,Nissan,Nissan Altima Coupe,121,Hybrid,Black,1927,New,Clean,None,3,Available,Paid,47712.48
Chevrolet,Tahoe,1999,Coupe,10,24.3,18.4,21.4,4,Manual,Chevrolet,Chevrolet Tahoe Coupe,554,Hybrid,Black,230571,New,Salvage,Flood Damage,5,Available,Paid,12846.66
Honda,Pilot,2023,Wagon,10,35.3,27.4,31.3,2,Manual,Honda,Honda Pilot Wagon,325,Hybrid,Black,40098,Used,Rebuilt,Frame Damage,3,Available,Paid,52331.22
Toyota,Camry,2001,Coupe,8,31.8,25.8,28.8,2,Automatic,Toyota,Toyota Camry Coupe,501,Hybrid,Black,11617,Used,Clean,None,2,Available,Unpaid,24228.7
Ford,F-150,1996,SUV,8,25.9,18.9,22.4,6,Automatic,Ford,Ford F-150 SUV,368,Hybrid,Black,248759,New,Salvage,Flood Damage,2,Available,Paid,43971.44
Subaru,Crosstrek,1995,Truck,4,20.5,11.2,15.8,4,Automatic,Subaru,Subaru Crosstrek Truck,120,Hybrid,Black,118144,New,Rebuilt,Flood Damage,2,Not Available,Unpaid,63323.12
Mercedes,E-Class,2008,Wagon,3,35,27.7,31.4,6,Manual,Mercedes,Mercedes E-Class Wagon,296,Hybrid,Black,196030,Used,Clean,None,5,Available,Paid,73235.98
Mercedes,C-Class,2008,Truck,12,25.2,22,23.6,7,CVT,Mercedes,Mercedes C-Class Truck,567,Hybrid,Black,74668,Used,Salvage,Frame Damage,1,Available,Unpaid,65114.1
Chevrolet,Equinox,2002,Coupe,12,38,29.5,33.8,2,CVT,Chevrolet,Chevrolet Equinox Coupe,492,Hybrid,Black,233926,Used,Clean,None,2,Not Available,Paid,38412.55
Hyundai,Sonata,2008,Convertible,8,30.7,25.5,28.1,7,Dual-Clutch,Hyundai,Hyundai Sonata Convertible,268,Hybrid,Black,91598,Used,Clean,None,5,Available,Unpaid,76652.17
Kia,Optima,2004,Sedan,12,27,17.8,22.4,3,CVT,Kia,Kia Optima Sedan,354,Hybrid,Black,11910,Used,Rebuilt,Minor Scratches,4,Available,Paid,62277.5
Hyundai,Tucson,2017,Sedan,4,27.6,19.7,23.6,4,Manual,Hyundai,Hyundai Tucson Sedan,144,Hybrid,Black,136168,Used,Rebuilt,Minor Scratches,5,Not Available,Paid,7982.61
Nissan,Pathfinder,1999,Sedan,6,32.8,24.6,28.7,7,CVT,Nissan,Nissan Pathfinder Sedan,423,Hybrid,Black,1070,Used,Clean,None,3,Available,Unpaid,44867.1
Nissan,Frontier,1996,Coupe,10,23.4,18.1,20.8,6,CVT,Nissan,Nissan Frontier Coupe,423,Hybrid,Black,190953,New,Rebuilt,Flood Damage,2,Available,Paid,55083.68
Ford,Mustang,2000,Sedan,4,18.9,12.7,15.8,4,Dual-Clutch,Ford,Ford Mustang Sedan,325,Hybrid,Black,47686,New,Salvage,Frame Damage,2,Not Available,Unpaid,74506.93
Kia,Sorento,1999,Sedan,12,23.6,16.8,20.2,6,Dual-Clutch,Kia,Kia Sorento Sedan,371,Hybrid,Black,229588,Used,Salvage,Minor Scratches,4,Available,Unpaid,77357.56
BMW,3 Series,2000,Convertible,12,22.4,15,18.7,6,CVT,BMW,BMW 3 Series Convertible,588,Hybrid,Black,241816,New,Clean,None,5,Not Available,Paid,47429.81
BMW,M4,2020,Convertible,12,33.8,28.7,31.2,4,Manual,BMW,BMW M4 Convertible,119,Hybrid,Black,83924,Used,Rebuilt,Frame Damage,1,Not Available,Paid,49856.55
Honda,Fit,1998,Coupe,4,34.9,28.9,31.9,3,Automatic,Honda,Honda Fit Coupe,325,Hybrid,Black,103544,New,Clean,None,3,Not Available,Unpaid,25940.12
Kia,Telluride,2007,Sedan,4,32.3,26.9,29.6,7,Dual-Clutch,Kia,Kia Telluride Sedan,422,Hybrid,Black,18292,Used,Rebuilt,Flood Damage,3,Available,Paid,38747.01
Chevrolet,Tahoe,2017,SUV,8,26.9,24.9,25.9,3,Manual,Chevrolet,Chevrolet Tahoe SUV,188,Hybrid,Black,9448,New,Clean,None,4,Available,Unpaid,72779.76
Ford,Explorer,2021,Truck,3,19.2,11.6,15.4,7,Automatic,Ford,Ford Explorer Truck,286,Hybrid,Black,78418,Used,Clean,None,4,Available,Paid,65801.61
Honda,Pilot,2017,Wagon,12,23.6,21.2,22.4,3,Manual,Honda,Honda Pilot Wagon,276,Hybrid,Black,36150,Used,Rebuilt,Minor Scratches,3,Not Available,Unpaid,53165.92
Honda,Accord,1999,Convertible,3,22.4,13.3,17.9,3,CVT,Honda,Honda Accord Convertible,520,Hybrid,Black,221671,Used,Rebuilt,Minor Scratches,4,Available,Paid,35352.26
Hyundai,Santa Fe,1995,Coupe,3,20.3,10.7,15.5,2,CVT,Hyundai,Hyundai Santa Fe Coupe,600,Hybrid,Black,222889,New,Salvage,Frame Damage,2,Not Available,Unpaid,9139.56
Ford,F-150,2022,Convertible,6,32.4,28.9,30.6,7,CVT,Ford,Ford F-150 Convertible,521,Hybrid,Black,68866,Used,Clean,None,1,Not Available,Paid,47888.57
Subaru,Crosstrek,2018,Coupe,4,21,16.8,18.9,5,CVT,Subaru,Subaru Crosstrek Coupe,107,Hybrid,Black,70690,New,Rebuilt,Flood Damage,3,Available,Paid,14856.03
Kia,Soul,2011,Convertible,4,20.9,12.1,16.5,5,CVT,Kia,Kia Soul Convertible,435,Hybrid,Black,175240,New,Rebuilt,Frame Damage,1,Available,Unpaid,67254.57
Nissan,Altima,2010,Hatchback,12,28.4,18.7,23.5,6,Manual,Nissan,Nissan Altima Hatchback,566,Hybrid,Black,178586,Used,Salvage,Frame Damage,5,Not Available,Unpaid,75877.21
Toyota,Camry,2018,Sedan,12,13.7,10,11.8,7,CVT,Toyota,Toyota Camry Sedan,426,Hybrid,Black,92953,New,Rebuilt,Minor Scratches,5,Not Available,Paid,12067.83
Kia,Sorento,2019,Truck,3,24.1,20.4,22.2,4,Manual,Kia,Kia Sorento Truck,408,Hybrid,Black,174458,New,Clean,None,2,Available,Paid,33363.97
Hyundai,Santa Fe,2004,Convertible,3,30.3,21.4,25.9,7,Dual-Clutch,Hyundai,Hyundai Santa Fe Convertible,143,Hybrid,Black,43824,Used,Salvage,Frame Damage,2,Available,Paid,53824.4
Nissan,Altima,2012,Convertible,12,34.4,28.1,31.2,3,Automatic,Nissan,Nissan Altima Convertible,319,Hybrid,Black,20115,Used,Salvage,Severe Collision,1,Available,Unpaid,73792.58
Mercedes,GLC,2014,Coupe,12,20.1,15.4,17.8,2,Automatic,Mercedes,Mercedes GLC Coupe,239,Hybrid,Black,66233,New,Clean,None,4,Not Available,Unpaid,71448.32
Honda,Accord,2016,Sedan,12,25.3,20.9,23.1,5,Manual,Honda,Honda Accord Sedan,328,Hybrid,Black,18737,Used,Salvage,Frame Damage,1,Not Available,Unpaid,13820.03
Ford,F-150,2007,Wagon,10,25.5,18.7,22.1,7,Automatic,Ford,Ford F-150 Wagon,382,Hybrid,Black,231225,Used,Rebuilt,Severe Collision,5,Not Available,Unpaid,79757.33
Mercedes,GLC,2018,Wagon,12,25.1,18.2,21.6,6,CVT,Mercedes,Mercedes GLC Wagon,260,Hybrid,Black,192354,Used,Salvage,Minor Scratches,1,Not Available,Unpaid,23241.49
BMW,X3,2011,Convertible,3,20.3,12.1,16.2,2,CVT,BMW,BMW X3 Convertible,458,Hybrid,Black,173207,New,Clean,None,2,Not Available,Unpaid,12586.85
Kia,Sportage,2023,Hatchback,4,33.1,24.6,28.9,6,Manual,Kia,Kia Sportage Hatchback,464,Hybrid,Black,14739,Used,Clean,None,5,Not Available,Paid,73276.44
Nissan,Sentra,2003,Truck,12,20.4,13.2,16.8,4,Manual,Nissan,Nissan Sentra Truck,196,Hybrid,Black,112157,Used,Salvage,Frame Damage,2,Not Available,Unpaid,33377.77
Toyota,RAV4,1997,Truck,6,20.4,11.7,16,7,Automatic,Toyota,Toyota RAV4 Truck,579,Hybrid,Black,53312,New,Rebuilt,Severe Collision,1,Available,Unpaid,39700.69
Toyota,Tacoma,2004,Sedan,3,23.1,13.8,18.5,5,Automatic,Toyota,Toyota Tacoma Sedan,163,Hybrid,Black,243670,New,Clean,None,2,Available,Unpaid,19458.36
Subaru,Forester,2003,Truck,8,35.6,29.4,32.5,7,Automatic,Subaru,Subaru Forester Truck,288,Hybrid,Black,106255,New,Rebuilt,Minor Scratches,1,Not Available,Paid,26773.5
Nissan,Sentra,2017,Truck,6,18.3,14.7,16.5,2,Automatic,Nissan,Nissan Sentra Truck,558,Hybrid,Black,94695,New,Rebuilt,Frame Damage,5,Available,Paid,28229.62
Honda,Pilot,2005,Truck,12,33.5,28.7,31.1,5,Manual,Honda,Honda Pilot Truck,442,Hybrid,Black,30864,Used,Rebuilt,Minor Scratches,2,Available,Paid,39461.6
Kia,Optima,2002,SUV,12,27.8,21.8,24.8,6,Manual,Kia,Kia Optima SUV,124,Hybrid,Black,227626,New,Salvage,Frame Damage,2,Not Available,Paid,48984.41
Chevrolet,Equinox,2016,Sedan,8,19.9,10.5,15.2,2,Manual,Chevrolet,Chevrolet Equinox Sedan,437,Hybrid,Black,189768,Used,Rebuilt,Minor Scratches,4,Not Available,Unpaid,42818.81
Toyota,RAV4,2017,Sedan,10,15.3,11.7,13.5,2,Dual-Clutch,Toyota,Toyota RAV4 Sedan,105,Hybrid,Black,44027,New,Clean,None,5,Not Available,Unpaid,60375.77
Chevrolet,Equinox,2022,Hatchback,10,29.2,22.4,25.8,3,Manual,Chevrolet,Chevrolet Equinox Hatchback,109,Hybrid,Black,127521,Used,Salvage,Frame Damage,2,Not Available,Unpaid,38911.48
Hyundai,Santa Fe,2020,Truck,8,14.1,11.7,12.9,4,CVT,Hyundai,Hyundai Santa Fe Truck,105,Hybrid,Black,132528,Used,Clean,None,2,Available,Paid,43122.25
Nissan,Sentra,2015,Convertible,10,30.7,25.2,27.9,4,Dual-Clutch,Nissan,Nissan Sentra Convertible,154,Hybrid,Black,92945,New,Clean,None,5,Not Available,Unpaid,19645.46
Nissan,Frontier,2017,Wagon,4,26.6,18.9,22.8,7,Dual-Clutch,Nissan,Nissan Frontier Wagon,190,Hybrid,Black,150131,Used,Salvage,Severe Collision,3,Not Available,Unpaid,8624.34
Hyundai,Sonata,2016,Wagon,12,30.1,20.8,25.5,5,Manual,Hyundai,Hyundai Sonata Wagon,523,Hybrid,Black,221656,Used,Rebuilt,Minor Scratches,2,Not Available,Unpaid,34119.22
Toyota,RAV4,2003,Wagon,8,29.4,20.4,24.9,7,Automatic,Toyota,Toyota RAV4 Wagon,285,Hybrid,Black,27568,New,Rebuilt,Severe Collision,1,Not Available,Unpaid,26259.01
BMW,M4,2004,Hatchback,3,25.9,21.1,23.5,7,Manual,BMW,BMW M4 Hatchback,514,Hybrid,Black,44735,Used,Rebuilt,Severe Collision,5,Available,Paid,32012.64
Mercedes,E-Class,2013,Convertible,4,19.8,10.6,15.2,2,Automatic,Mercedes,Mercedes E-Class Convertible,133,Hybrid,Black,96250,New,Rebuilt,Frame Damage,2,Not Available,Unpaid,53749.73
Mercedes,C-Class,1995,Hatchback,6,33.2,25.8,29.5,4,Manual,Mercedes,Mercedes C-Class Hatchback,418,Hybrid,Black,88067,Used,Salvage,Minor Scratches,2,Available,Paid,42957
Hyundai,Elantra,2018,Wagon,6,25.3,19.7,22.5,3,CVT,Hyundai,Hyundai Elantra Wagon,528,Hybrid,Black,163655,New,Rebuilt,Minor Scratches,3,Not Available,Unpaid,73483.55
Nissan,Rogue,2018,Coupe,4,22.7,19.1,20.9,2,CVT,Nissan,Nissan Rogue Coupe,112,Hybrid,Black,182955,Used,Rebuilt,Flood Damage,5,Not Available,Paid,30145.6
Chevrolet,Silverado,2003,Wagon,4,26.1,20.4,23.2,2,Automatic,Chevrolet,Chevrolet Silverado Wagon,237,Hybrid,Black,188256,Used,Salvage,Severe Collision,5,Available,Paid,47359.74
BMW,X5,2022,Truck,4,31.6,28.1,29.9,3,Automatic,BMW,BMW X5 Truck,346,Hybrid,Black,128986,New,Clean,None,4,Available,Paid,41541.8
Hyundai,Tucson,1995,Sedan,8,18.3,12.6,15.4,3,CVT,Hyundai,Hyundai Tucson Sedan,184,Hybrid,Black,56926,Used,Clean,None,4,Available,Paid,55110.42
Chevrolet,Silverado,2007,Wagon,8,17.6,12.9,15.2,7,Dual-Clutch,Chevrolet,Chevrolet Silverado Wagon,269,Hybrid,Black,43920,Used,Salvage,Minor Scratches,1,Not Available,Paid,54117.46
Kia,Telluride,2019,SUV,6,29.3,22.5,25.9,6,CVT,Kia,Kia Telluride SUV,460,Hybrid,Black,43826,New,Salvage,Minor Scratches,4,Not Available,Unpaid,24406
Kia,Optima,1996,Sedan,4,20.9,13.7,17.3,3,Manual,Kia,Kia Optima Sedan,509,Hybrid,Black,235566,Used,Rebuilt,Severe Collision,2,Not Available,Paid,71698.62
Toyota,Corolla,2016,Truck,4,13.3,10.8,12.1,4,Automatic,Toyota,Toyota Corolla Truck,277,Hybrid,Black,186713,New,Rebuilt,Flood Damage,5,Not Available,Unpaid,41513.2
Kia,Sorento,2003,Coupe,8,29.2,26,27.6,3,Manual,Kia,Kia Sorento Coupe,402,Hybrid,Black,114437,New,Rebuilt,Flood Damage,4,Not Available,Paid,77683.73
Hyundai,Tucson,2020,Wagon,3,23.4,18.7,21,5,Automatic,Hyundai,Hyundai Tucson Wagon,289,Hybrid,Black,49285,New,Salvage,Flood Damage,1,Available,Paid,13988.99
Mercedes,E-Class,2004,Truck,4,25.1,21,23.1,4,Dual-Clutch,Mercedes,Mercedes E-Class Truck,506,Hybrid,Black,137530,New,Salvage,Flood Damage,3,Not Available,Unpaid,18545.87
Chevrolet,Tahoe,2007,Convertible,3,25.2,22.1,23.6,2,CVT,Chevrolet,Chevrolet Tahoe Convertible,355,Hybrid,Black,144569,New,Salvage,Frame Damage,2,Available,Paid,39519.67
Mercedes,GLC,2009,Truck,3,25.4,20.6,23,4,Automatic,Mercedes,Mercedes GLC Truck,406,Hybrid,Black,174357,Used,Clean,None,2,Not Available,Paid,37082.57
Hyundai,Santa Fe,1999,Truck,3,21.9,13.3,17.6,5,Automatic,Hyundai,Hyundai Santa Fe Truck,428,Hybrid,Black,200653,Used,Clean,None,4,Not Available,Unpaid,27487.51
Subaru,Forester,1996,Wagon,3,22.2,19,20.6,2,Automatic,Subaru,Subaru Forester Wagon,528,Hybrid,Black,171522,Used,Clean,None,5,Available,Paid,30073.21
Subaru,Crosstrek,2022,Hatchback,6,33.7,25.3,29.5,3,Automatic,Subaru,Subaru Crosstrek Hatchback,268,Hybrid,Black,32784,Used,Salvage,Flood Damage,2,Available,Unpaid,51001.13
Mercedes,C-Class,2015,Coupe,10,30.4,23.3,26.9,7,Manual,Mercedes,Mercedes C-Class Coupe,510,Hybrid,Black,172657,New,Salvage,Minor Scratches,1,Available,Paid,42314.05
Chevrolet,Equinox,1996,Truck,12,32.7,24.5,28.6,5,Manual,Chevrolet,Chevrolet Equinox Truck,157,Hybrid,Black,169023,New,Salvage,Minor Scratches,5,Not Available,Paid,74244.37
Chevrolet,Equinox,2003,Coupe,4,25.9,19,22.4,4,Automatic,Chevrolet,Chevrolet Equinox Coupe,266,Hybrid,Black,164770,Used,Rebuilt,Minor Scratches,4,Available,Unpaid,45818.61
Subaru,Outback,2014,Wagon,4,23.8,15.6,19.7,5,Dual-Clutch,Subaru,Subaru Outback Wagon,226,Hybrid,Black,20299,New,Salvage,Flood Damage,1,Available,Paid,18599.73
Ford,Escape,1996,Hatchback,10,31.9,26.1,29,5,Dual-Clutch,Ford,Ford Escape Hatchback,299,Hybrid,Black,7634,New,Clean,None,2,Available,Unpaid,27398
Ford,Explorer,2017,Hatchback,8,25.3,16.3,20.8,6,Automatic,Ford,Ford Explorer Hatchback,116,Hybrid,Black,203585,New,Clean,None,4,Not Available,Unpaid,5795.03
Toyota,Highlander,2013,Wagon,10,39.9,29.9,34.9,2,CVT,Toyota,Toyota Highlander Wagon,469,Hybrid,Black,171803,New,Salvage,Severe Collision,1,Available,Unpaid,61646.08
Ford,F-150,2014,Sedan,12,18.6,14.7,16.6,4,CVT,Ford,Ford F-150 Sedan,360,Hybrid,Black,232392,New,Salvage,Severe Collision,2,Not Available,Paid,58157.05
Mercedes,S-Class,2015,Hatchback,6,25.9,23.5,24.7,4,Manual,Mercedes,Mercedes S-Class Hatchback,249,Hybrid,Black,187316,Used,Rebuilt,Frame Damage,2,Available,Unpaid,77201.29
Nissan,Frontier,2004,Truck,6,24.1,20.8,22.5,3,Automatic,Nissan,Nissan Frontier Truck,439,Hybrid,Black,158622,New,Clean,None,2,Available,Paid,52889.79
